SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
ACCURACY, EQ, 19-Apr-2023,16.0,16.1,17.95,15.75, 16.15,17.15,16.82,464406,78.12,1100, 249270, 53.68
ACE, EQ, 19-Apr-2023,407.1,409.0,420.0,408.05, 414.00,413.4,415.35,508603,2112.46,14466, 170547, 33.53
ACEINTEG, BE, 19-Apr-2023,38.1,38.1,39.85,36.2, 38.50,38.5,38.82,793,0.31,25, -, -
ACI, EQ, 19-Apr-2023,545.45,548.75,549.75,526.5, 528.10,529.7,538.46,208263,1121.42,17867, 103888, 49.88
ADANIENT, EQ, 19-Apr-2023,1850.95,1847.0,1877.7,1835.0, 1851.00,1853.85,1857.49,2455884,45617.82,95034, 341824, 13.92
ADANIGREEN, EQ, 19-Apr-2023,952.25,952.4,955.0,920.5, 936.00,935.8,935.9,1177133,11016.75,45750, 493771, 41.95
ADANIPORTS, EQ, 19-Apr-2023,658.55,659.0,665.0,654.9, 656.65,658.4,660.05,2683546,17712.69,43183, 542251, 20.21
ADANIPOWER, EQ, 19-Apr-2023,188.35,188.8,189.45,185.2, 187.75,187.3,187.26,3119628,5841.97,37960, 1448615, 46.44
ADANITRANS, EQ, 19-Apr-2023,1032.05,1038.75,1038.75,1005.0, 1017.00,1017.7,1018.37,320995,3268.91,21189, 156299, 48.69
ADFFOODS, EQ, 19-Apr-2023,734.3,727.0,780.0,717.0, 743.50,751.9,750.23,30209,226.64,1280, 10511, 34.79
ADL, BE, 19-Apr-2023,64.85,64.65,68.05,62.0, 67.45,67.9,64.2,3143,2.02,29, -, -
ADORWELD, EQ, 19-Apr-2023,977.45,978.0,1025.0,978.0, 1008.05,1019.0,1006.34,30226,304.18,4486, 15908, 52.63
ADROITINFO, EQ, 19-Apr-2023,24.4,25.35,25.75,24.0, 24.70,24.75,24.79,32432,8.04,364, 18897, 58.27
ADSL, EQ, 19-Apr-2023,81.25,81.25,83.5,80.5, 80.60,80.7,81.78,101202,82.76,1803, 56131, 55.46
ADVANIHOTR, EQ, 19-Apr-2023,75.55,75.5,78.95,75.3, 77.20,76.8,76.81,37845,29.07,682, 19323, 51.06
ADVENZYMES, EQ, 19-Apr-2023,255.05,256.7,258.95,249.25, 250.35,250.65,253.12,47230,119.55,2935, 31032, 65.70
AEGISCHEM, EQ, 19-Apr-2023,386.25,386.95,393.4,385.0, 391.00,391.2,389.5,272137,1059.98,10869, 110410, 40.57
AETHER, EQ, 19-Apr-2023,947.75,957.75,983.95,950.1, 971.00,973.0,973.31,148804,1448.33,8536, 91866, 61.74
AFFLE, EQ, 19-Apr-2023,917.8,921.05,925.75,911.0, 914.70,912.5,919.21,455030,4182.68,22620, 327697, 72.02
AGARIND, EQ, 19-Apr-2023,596.05,598.2,601.6,594.0, 598.00,598.05,596.99,11607,69.29,1070, 7307, 62.95
AGARWALFT, SM, 19-Apr-2023,34.0,35.0,35.0,35.0, 35.00,35.0,35.0,3000,1.05,1, 3000, 100.00
AGI, EQ, 19-Apr-2023,385.85,386.0,396.4,382.15, 391.00,390.6,391.2,205720,804.78,6635, 107801, 52.40
AGNI, SM, 19-Apr-2023,18.75,18.3,18.3,18.3, 18.30,18.3,18.3,10000,1.83,1, 10000, 100.00
AGRITECH, EQ, 19-Apr-2023,94.65,93.5,98.8,93.5, 95.95,95.65,96.69,19580,18.93,292, 11229, 57.35
AGROPHOS, EQ, 19-Apr-2023,38.25,38.25,38.95,37.45, 38.25,37.9,37.86,53372,20.21,459, 30672, 57.47
AGSTRA, EQ, 19-Apr-2023,51.55,51.6,52.15,50.7, 51.05,51.0,51.36,132675,68.14,1957, 67621, 50.97
AHL, EQ, 19-Apr-2023,231.3,230.1,246.8,229.4, 239.20,239.0,239.93,235482,564.98,5952, 53051, 22.53
AHLADA, EQ, 19-Apr-2023,98.95,98.95,101.4,95.65, 96.15,96.7,98.09,9270,9.09,226, 5449, 58.78
AHLEAST, EQ, 19-Apr-2023,116.3,116.65,117.6,112.45, 113.05,113.05,114.34,3290,3.76,126, 1900, 57.75
AHLUCONT, EQ, 19-Apr-2023,528.0,528.95,533.35,524.25, 526.90,525.7,527.83,23361,123.31,2570, 14638, 62.66
AIAENG, EQ, 19-Apr-2023,2792.85,2787.85,2817.0,2732.6, 2751.45,2745.8,2770.88,62438,1730.08,11798, 36969, 59.21
AIRAN, EQ, 19-Apr-2023,15.1,15.1,15.35,15.0, 15.15,15.15,15.1,56465,8.53,396, 37143, 65.78
AIROLAM, EQ, 19-Apr-2023,72.7,72.75,74.85,72.7, 73.00,73.85,73.89,5824,4.3,103, 3985, 68.42
AIRTELPP, E1, 19-Apr-2023,376.15,375.0,381.75,373.2, 379.55,379.8,379.92,174338,662.35,2162, 128853, 73.91
AJANTPHARM, EQ, 19-Apr-2023,1298.8,1281.0,1310.0,1281.0, 1299.00,1301.7,1291.95,161772,2090.01,22377, 115596, 71.46
AJMERA, EQ, 19-Apr-2023,313.6,314.8,314.8,308.1, 308.80,309.15,311.54,25596,79.74,1461, 15996, 62.49
AJOONI, EQ, 19-Apr-2023,4.85,4.8,4.9,4.75, 4.90,4.85,4.84,116691,5.65,290, 51583, 44.20
AKASH, EQ, 19-Apr-2023,26.4,27.35,27.35,26.4, 26.40,26.5,26.62,26988,7.18,362, 9575, 35.48
AKG, EQ, 19-Apr-2023,32.9,32.85,32.85,31.25, 31.80,31.8,31.66,31820,10.07,167, 21904, 68.84
AKI, EQ, 19-Apr-2023,115.8,114.0,122.6,109.85, 114.60,114.45,115.97,259922,301.42,5777, 106763, 41.08
AKSHAR, BE, 19-Apr-2023,59.7,59.75,62.65,59.7, 62.65,62.45,60.69,26713,16.21,83, -, -
AKSHARCHEM, EQ, 19-Apr-2023,230.7,229.3,235.45,226.75, 229.95,228.2,230.86,3117,7.2,320, 1852, 59.42
AKSHOPTFBR, EQ, 19-Apr-2023,9.35,9.4,9.55,9.0, 9.20,9.15,9.27,189372,17.55,398, 122361, 64.61
AKZOINDIA, EQ, 19-Apr-2023,2304.45,2324.55,2346.0,2294.35, 2294.55,2306.05,2321.83,12014,278.94,2346, 7447, 61.99
ALANKIT, EQ, 19-Apr-2023,8.5,8.4,9.05,8.4, 8.80,8.7,8.76,186940,16.38,591, 75025, 40.13
ALBERTDAVD, EQ, 19-Apr-2023,596.0,594.0,612.05,585.15, 598.00,601.9,603.96,15307,92.45,1244, 9245, 60.40
ALEMBICLTD, EQ, 19-Apr-2023,60.15,60.3,62.45,60.25, 61.70,61.9,61.15,192554,117.76,2054, 95672, 49.69
ALICON, EQ, 19-Apr-2023,798.2,805.0,817.35,794.0, 798.00,801.8,803.87,6185,49.72,1301, 2908, 47.02
ALKALI, EQ, 19-Apr-2023,106.35,106.75,107.0,99.2, 101.65,101.5,102.82,53782,55.3,1191, 31164, 57.95
ALKEM, EQ, 19-Apr-2023,3366.85,3367.0,3379.95,3327.2, 3354.00,3341.7,3347.15,149586,5006.87,9037, 117892, 78.81
ALKYLAMINE, EQ, 19-Apr-2023,2432.85,2448.2,2465.3,2431.65, 2442.50,2443.25,2450.88,17207,421.72,4705, 7425, 43.15
ALLCARGO, BE, 19-Apr-2023,273.2,284.7,285.5,275.0, 281.60,279.7,279.28,724098,2022.23,5760, -, -
ALLETEC, SM, 19-Apr-2023,95.5,95.5,95.5,95.5, 95.50,95.5,95.5,1600,1.53,1, 1600, 100.00
ALLSEC, EQ, 19-Apr-2023,489.95,484.65,486.85,478.0, 478.20,479.35,480.79,4415,21.23,400, 2935, 66.48
ALMONDZ, EQ, 19-Apr-2023,70.7,71.45,71.45,67.75, 67.80,68.2,69.04,8495,5.87,216, 6216, 73.17
ALOKINDS, EQ, 19-Apr-2023,12.55,12.6,13.0,12.6, 12.70,12.85,12.83,9208809,1181.29,7360, 3578505, 38.86
ALPA, EQ, 19-Apr-2023,59.6,59.7,62.5,59.7, 61.85,61.9,61.37,90506,55.54,1100, 54603, 60.33
ALPHAGEO, EQ, 19-Apr-2023,215.65,215.8,222.4,215.05, 218.25,217.9,218.54,5696,12.45,331, 3239, 56.86
AMARAJABAT, EQ, 19-Apr-2023,589.35,590.9,617.05,588.85, 608.85,612.8,608.83,1220527,7430.94,43785, 328395, 26.91
AMBANIORG, SM, 19-Apr-2023,89.3,93.75,93.75,93.75, 93.75,93.75,93.75,2000,1.88,1, 2000, 100.00
AMBER, EQ, 19-Apr-2023,1856.5,1856.5,1867.4,1825.0, 1833.20,1833.5,1849.64,60336,1116.0,8128, 38263, 63.42
AMBICAAGAR, EQ, 19-Apr-2023,20.65,20.5,20.9,20.5, 20.65,20.65,20.66,13569,2.8,123, 12320, 90.80
AMBIKCO, EQ, 19-Apr-2023,1497.7,1498.1,1515.0,1496.0, 1498.50,1500.05,1507.1,3864,58.23,902, 2126, 55.02
AMBUJACEM, EQ, 19-Apr-2023,383.05,384.0,388.2,377.65, 380.00,380.05,382.72,3600019,13777.92,41701, 1686988, 46.86
AMDIND, EQ, 19-Apr-2023,53.8,54.45,54.45,52.6, 52.80,52.85,53.17,16499,8.77,253, 9743, 59.05
AMEYA, SM, 19-Apr-2023,37.8,37.15,38.0,37.0, 38.00,38.0,37.38,12000,4.49,3, 8000, 66.67
AMIORG, EQ, 19-Apr-2023,1048.1,1048.1,1064.0,1021.9, 1050.55,1056.3,1047.47,101688,1065.15,8444, 42837, 42.13
AMJLAND, EQ, 19-Apr-2023,23.8,24.1,24.1,23.25, 23.85,23.55,23.6,9278,2.19,121, 6013, 64.81
AMRUTANJAN, EQ, 19-Apr-2023,614.7,619.6,628.05,610.45, 622.30,624.0,621.62,23205,144.25,3155, 12122, 52.24
ANANDRATHI, EQ, 19-Apr-2023,854.35,854.0,871.05,849.0, 857.00,859.45,861.26,126408,1088.71,5988, 63204, 50.00
ANANTRAJ, EQ, 19-Apr-2023,138.9,138.15,139.9,135.0, 135.50,135.5,136.86,985350,1348.58,10506, 427453, 43.38
ANDHRAPAP, EQ, 19-Apr-2023,460.6,461.0,469.0,453.9, 459.00,458.1,463.82,157160,728.94,10923, 79547, 50.62
ANDHRSUGAR, EQ, 19-Apr-2023,111.95,112.3,115.8,112.2, 115.00,114.65,114.31,270164,308.82,4145, 114797, 42.49
ANDREWYU, EQ, 19-Apr-2023,21.5,21.6,21.75,21.3, 21.55,21.5,21.49,54624,11.74,348, 34171, 62.56
ANGELONE, EQ, 19-Apr-2023,1297.45,1305.0,1305.0,1258.0, 1260.50,1261.8,1273.44,608551,7749.52,21822, 185375, 30.46
ANIKINDS, EQ, 19-Apr-2023,31.75,32.05,33.0,32.05, 33.00,32.7,32.73,21843,7.15,370, 11648, 53.33
ANKITMETAL, EQ, 19-Apr-2023,4.5,4.5,4.6,4.4, 4.45,4.5,4.46,41085,1.83,181, 26766, 65.15
ANLON, SM, 19-Apr-2023,170.0,170.0,170.0,167.55, 167.55,167.55,168.78,7200,12.15,5, 7200, 100.00
ANMOL, EQ, 19-Apr-2023,223.4,225.0,225.0,220.0, 224.30,224.45,224.06,53219,119.24,1522, 28209, 53.01
ANNAPURNA, SM, 19-Apr-2023,224.05,227.8,233.0,224.5, 224.50,225.7,230.18,105000,241.69,93, 77000, 73.33
ANTGRAPHIC, EQ, 19-Apr-2023,0.7,0.65,0.7,0.65, 0.70,0.7,0.67,250324,1.68,171, 191424, 76.47
ANUP, EQ, 19-Apr-2023,1092.1,1094.0,1123.9,1076.5, 1080.80,1081.05,1100.7,15485,170.44,3691, 7489, 48.36
ANURAS, EQ, 19-Apr-2023,1014.35,996.0,1039.0,996.0, 1036.00,1032.15,1025.47,431144,4421.24,14650, 83815, 19.44
APARINDS, EQ, 19-Apr-2023,2670.95,2679.15,2710.0,2638.85, 2659.65,2657.75,2677.35,92089,2465.54,10292, 30992, 33.65
APCL, EQ, 19-Apr-2023,178.1,179.5,179.55,176.0, 179.55,178.75,178.12,10732,19.12,310, 8468, 78.90
APCOTEXIND, EQ, 19-Apr-2023,507.9,506.0,534.8,506.0, 532.00,530.8,524.78,119892,629.17,7561, 47230, 39.39
APEX, EQ, 19-Apr-2023,199.55,198.0,208.9,198.0, 199.15,199.5,202.25,132897,268.79,4004, 72501, 54.55
APLAPOLLO, EQ, 19-Apr-2023,1228.2,1235.95,1248.0,1228.0, 1229.05,1230.15,1238.64,263474,3263.5,20223, 133899, 50.82
APLLTD, EQ, 19-Apr-2023,536.8,539.4,542.9,527.45, 530.10,530.15,534.73,47636,254.72,4330, 19427, 40.78
APOLLO, EQ, 19-Apr-2023,318.0,320.05,320.05,310.8, 314.50,314.15,314.35,43730,137.46,1347, 29955, 68.50
APOLLOHOSP, EQ, 19-Apr-2023,4338.65,4355.0,4355.0,4221.55, 4309.75,4320.3,4289.09,517278,22186.49,44082, 159400, 30.82
APOLLOPIPE, EQ, 19-Apr-2023,583.45,586.35,594.5,582.55, 590.00,588.5,589.37,58226,343.17,2587, 34655, 59.52
APOLLOTYRE, EQ, 19-Apr-2023,332.2,332.0,336.5,331.2, 332.45,332.5,334.09,1969414,6579.64,26140, 547653, 27.81
APOLSINHOT, EQ, 19-Apr-2023,1160.65,1168.95,1392.75,1146.0, 1392.75,1391.0,1349.87,30503,411.75,2689, 11992, 39.31
APTECHT, EQ, 19-Apr-2023,427.8,430.0,455.0,423.55, 454.00,451.35,443.38,1425723,6321.31,41646, 352174, 24.70
APTUS, EQ, 19-Apr-2023,258.75,259.0,259.1,255.3, 256.00,256.8,256.85,99263,254.96,5006, 43248, 43.57
ARCHIDPLY, EQ, 19-Apr-2023,72.2,72.2,75.45,69.65, 72.00,72.9,73.79,318177,234.79,3299, 138771, 43.61
ARCHIES, EQ, 19-Apr-2023,19.7,19.8,20.35,19.65, 20.25,20.0,20.0,25475,5.09,256, 20022, 78.59
ARENTERP, EQ, 19-Apr-2023,32.65,32.7,33.9,31.9, 33.60,33.2,33.0,4557,1.5,195, 2406, 52.80
ARHAM, SM, 19-Apr-2023,62.45,60.55,60.55,58.4, 58.40,59.15,59.73,12000,7.17,4, 12000, 100.00
ARIES, EQ, 19-Apr-2023,181.75,182.45,183.55,175.45, 176.95,177.5,178.68,83551,149.29,3098, 39031, 46.72
ARIHANTCAP, EQ, 19-Apr-2023,40.7,41.0,41.0,39.6, 40.00,39.95,40.06,65375,26.19,493, 44862, 68.62
ARIHANTSUP, EQ, 19-Apr-2023,218.4,217.6,219.05,214.0, 216.50,215.7,216.76,118339,256.51,1246, 45017, 38.04
ARISTO, SM, 19-Apr-2023,55.55,55.55,66.65,55.25, 63.50,64.0,65.24,184000,120.04,84, 80000, 43.48
ARMANFIN, EQ, 19-Apr-2023,1418.25,1411.5,1465.0,1411.5, 1448.70,1451.6,1435.76,5741,82.43,741, 2656, 46.26
AROGRANITE, EQ, 19-Apr-2023,40.7,41.3,44.7,40.75, 42.80,43.2,43.58,183280,79.87,2021, 56743, 30.96
ARROWGREEN, EQ, 19-Apr-2023,261.35,261.5,267.7,258.2, 260.30,263.3,262.76,15121,39.73,820, 7959, 52.64
ARSHIYA, EQ, 19-Apr-2023,6.05,6.0,6.2,5.9, 6.05,6.0,6.03,338466,20.4,299, 222227, 65.66
ARTEMISMED, EQ, 19-Apr-2023,74.6,75.0,75.5,74.2, 75.00,74.8,74.95,66610,49.92,1137, 39974, 60.01
ARTNIRMAN, EQ, 19-Apr-2023,49.4,49.4,52.5,48.85, 51.25,51.05,51.03,5028,2.57,128, 2537, 50.46
ARVEE, EQ, 19-Apr-2023,130.9,128.05,130.7,124.35, 124.35,124.5,126.72,3112,3.94,140, 2293, 73.68
ARVIND, EQ, 19-Apr-2023,96.6,96.3,98.8,94.2, 94.35,94.6,96.08,862051,828.24,5212, 450535, 52.26
ARVINDFASN, EQ, 19-Apr-2023,290.7,290.7,294.75,289.05, 290.00,290.45,292.36,103378,302.24,5082, 52063, 50.36
ARVSMART, EQ, 19-Apr-2023,310.1,310.0,319.8,305.7, 316.65,316.4,316.31,65570,207.4,2031, 42526, 64.86
ASAHIINDIA, EQ, 19-Apr-2023,456.4,460.95,474.95,460.95, 473.95,472.7,468.86,86565,405.87,6040, 33316, 38.49
ASAHISONG, EQ, 19-Apr-2023,216.45,214.75,219.6,212.85, 219.00,218.45,216.19,6757,14.61,529, 4462, 66.04
ASAL, EQ, 19-Apr-2023,316.6,312.1,323.0,312.1, 316.90,316.75,317.77,16892,53.68,1349, 8273, 48.98
ASALCBR, EQ, 19-Apr-2023,366.25,369.0,374.95,365.6, 369.50,370.65,371.44,12692,47.14,1447, 6729, 53.02
ASCOM, SM, 19-Apr-2023,350.0,353.0,354.0,353.0, 354.00,354.0,353.5,3000,10.61,2, 3000, 100.00
ASHAPURMIN, EQ, 19-Apr-2023,136.55,135.6,137.1,130.6, 131.75,131.25,133.37,371144,495.01,7267, 173860, 46.84
ASHIANA, EQ, 19-Apr-2023,175.3,175.0,180.0,174.8, 175.15,175.75,177.07,39308,69.6,2245, 13328, 33.91
ASHIMASYN, EQ, 19-Apr-2023,13.9,13.7,14.0,13.7, 13.90,13.85,13.87,35385,4.91,212, 28439, 80.37
ASHOKA, EQ, 19-Apr-2023,86.4,86.4,86.8,84.3, 85.20,85.15,85.58,860314,736.26,7587, 325404, 37.82
ASHOKLEY, EQ, 19-Apr-2023,139.6,140.35,140.75,137.55, 137.80,137.7,139.15,7661505,10661.2,40390, 4105124, 53.58
ASIANENE, BE, 19-Apr-2023,92.9,92.9,94.0,90.1, 92.20,92.0,91.41,43121,39.41,275, -, -
ASIANHOTNR, BE, 19-Apr-2023,161.0,156.5,160.5,152.95, 152.95,153.05,158.19,4621,7.31,92, -, -
ASIANPAINT, EQ, 19-Apr-2023,2854.6,2836.35,2852.7,2800.65, 2811.00,2809.7,2820.26,799624,22551.51,48741, 470857, 58.88
ASIANTILES, EQ, 19-Apr-2023,44.95,46.1,51.65,45.9, 48.80,48.95,49.75,10324163,5136.08,31569, 2980147, 28.87
ASMS, BZ, 19-Apr-2023,5.4,5.5,5.65,5.3, 5.45,5.35,5.45,32097,1.75,72, -, -
ASPINWALL, EQ, 19-Apr-2023,202.9,203.0,206.0,202.05, 205.25,204.7,203.76,602,1.23,55, 437, 72.59
ASTEC, EQ, 19-Apr-2023,1336.2,1340.05,1369.95,1340.0, 1353.00,1350.7,1354.33,11716,158.67,2140, 3948, 33.70
ASTERDM, EQ, 19-Apr-2023,251.95,252.35,259.35,252.0, 255.30,255.75,257.08,585325,1504.73,14964, 310469, 53.04
ASTRAL, EQ, 19-Apr-2023,1450.75,1455.0,1462.1,1429.3, 1431.50,1432.85,1443.39,260649,3762.18,26020, 73301, 28.12
ASTRAMICRO, EQ, 19-Apr-2023,261.6,262.4,264.0,255.9, 259.10,258.55,260.57,130582,340.25,4121, 55691, 42.65
ASTRAZEN, EQ, 19-Apr-2023,3196.1,3209.8,3225.8,3172.05, 3220.00,3195.65,3196.77,3606,115.28,1980, 1818, 50.42
ASTRON, EQ, 19-Apr-2023,24.15,24.15,26.3,23.75, 25.60,25.5,25.61,88570,22.68,640, 47189, 53.28
ATALREAL, SM, 19-Apr-2023,84.5,81.0,88.75,79.5, 85.50,85.5,84.11,182400,153.41,34, 43200, 23.68
ATFL, EQ, 19-Apr-2023,825.45,827.35,845.05,811.05, 841.00,838.25,826.61,6008,49.66,995, 3473, 57.81
ATGL, EQ, 19-Apr-2023,948.05,954.4,954.4,924.0, 930.00,930.35,934.11,531461,4964.41,27508, 243693, 45.85
ATLANTA, EQ, 19-Apr-2023,15.7,16.1,16.25,15.25, 15.25,15.45,15.68,22613,3.55,264, 14164, 62.64
