SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
AAKASH, BE, 12-Feb-2021,110.45,110.5,115.95,109.2,111.0,112.2,111.73,10230,11.43,151, -, -
AARON, EQ, 12-Feb-2021,55.75,55.9,61.1,53.95,58.6,58.1,58.15,23592,13.72,248, 15253, 64.65
AARTIDRUGS, EQ, 12-Feb-2021,662.15,662.25,668.7,652.5,654.0,656.0,660.14,227265,1500.26,10846, 117608, 51.75
AARTIIND, EQ, 12-Feb-2021,1209.2,1211.95,1237.0,1205.0,1210.05,1214.15,1222.38,322784,3945.63,15985, 124331, 38.52
AARTISURF, EQ, 12-Feb-2021,908.2,908.25,917.95,889.0,899.0,895.8,900.82,18401,165.76,2325, 11894, 64.64
AARVEEDEN, EQ, 12-Feb-2021,20.4,20.35,20.8,18.7,18.8,18.95,19.12,70333,13.45,454, 56706, 80.63
AARVI, EQ, 12-Feb-2021,44.15,47.5,47.5,44.45,46.15,46.65,46.31,22017,10.2,264, 14014, 63.65
AAVAS, EQ, 12-Feb-2021,2364.55,2370.0,2370.0,2277.1,2300.0,2300.2,2328.92,95779,2230.61,11775, 44748, 46.72
ABAN, EQ, 12-Feb-2021,29.05,29.0,29.45,28.65,28.7,28.95,29.05,85679,24.89,542, 50496, 58.94
ABB, EQ, 12-Feb-2021,1423.35,1429.0,1480.0,1425.6,1471.9,1466.85,1450.61,224960,3263.28,20241, 125057, 55.59
ABBOTINDIA, EQ, 12-Feb-2021,14434.55,14400.0,14460.0,14375.0,14438.7,14439.1,14424.75,12309,1775.54,3229, 8094, 65.76
ABCAPITAL, EQ, 12-Feb-2021,89.05,89.35,89.7,88.15,88.55,88.7,88.95,1305619,1161.33,7517, 453516, 34.74
ABFRL, EQ, 12-Feb-2021,167.85,168.6,168.85,164.5,166.85,166.45,166.5,1456945,2425.87,13663, 399041, 27.39
ABINFRA, SM, 12-Feb-2021,7.25,7.25,7.25,6.9,6.9,6.9,6.99,16000,1.12,4, 12000, 75.00
ABMINTLTD, EQ, 12-Feb-2021,40.75,42.75,42.75,42.75,42.75,42.75,42.75,765,0.33,10, 765, 100.00
ABSLBANETF, EQ, 12-Feb-2021,355.63,356.54,358.77,356.1,358.77,358.77,357.28,2363,8.44,5, 1363, 57.68
ABSLNN50ET, EQ, 12-Feb-2021,330.95,338.0,347.0,331.15,344.0,344.0,346.31,524,1.81,23, 514, 98.09
ABSLRIF6RG, MF, 12-Feb-2021,7.99,8.43,8.43,8.06,8.06,8.06,8.07,503,0.04,4, 503, 100.00
ACC, EQ, 12-Feb-2021,1775.95,1751.0,1813.6,1716.1,1763.55,1765.75,1772.21,3673122,65095.43,109772, 795063, 21.65
ACCELYA, EQ, 12-Feb-2021,905.7,915.0,930.0,901.05,905.0,910.0,913.1,8736,79.77,1084, 2956, 33.84
ACCURACY, EQ, 12-Feb-2021,55.85,58.25,58.25,53.1,55.0,55.05,54.65,36891,20.16,222, 29056, 78.76
ACE, EQ, 12-Feb-2021,162.2,163.0,164.85,161.8,164.0,164.4,163.89,332392,544.77,2698, 146829, 44.17
ACRYSIL, EQ, 12-Feb-2021,253.2,265.85,265.85,243.0,265.85,265.85,262.51,256314,672.84,2108, 163586, 63.82
ADANIENT, EQ, 12-Feb-2021,658.6,657.0,724.45,655.2,711.25,718.95,697.58,16810897,117270.11,213711, 1103612, 6.56
ADANIGREEN, EQ, 12-Feb-2021,1074.6,1064.95,1081.7,1052.0,1060.0,1068.95,1076.26,4532486,48781.49,27773, 2688437, 59.31
ADANIPORTS, EQ, 12-Feb-2021,591.85,592.3,621.65,586.1,611.75,616.6,606.51,24953701,151346.77,253089, 2468385, 9.89
ADANIPOWER, EQ, 12-Feb-2021,53.8,54.0,58.5,53.3,56.9,57.25,56.17,36327365,20405.75,84815, 11868248, 32.67
ADANITRANS, EQ, 12-Feb-2021,589.05,593.5,632.9,589.15,627.0,627.55,615.91,2414639,14872.04,54906, 621597, 25.74
ADFFOODS, EQ, 12-Feb-2021,732.2,745.2,796.0,737.1,794.2,787.75,767.59,196006,1504.52,8853, 46173, 23.56
ADHUNIKIND, EQ, 12-Feb-2021,21.65,21.9,21.95,21.05,21.7,21.15,21.33,24331,5.19,174, 15291, 62.85
ADL, BE, 12-Feb-2021,29.05,27.7,30.3,27.65,28.0,28.1,28.08,4747,1.33,40, -, -
ADORWELD, EQ, 12-Feb-2021,299.8,301.8,312.5,294.1,301.95,302.45,305.59,71563,218.69,3212, 21725, 30.36
ADROITINFO, EQ, 12-Feb-2021,9.0,8.9,9.0,8.55,8.55,8.55,8.62,6825,0.59,45, 6785, 99.41
ADSL, EQ, 12-Feb-2021,38.5,38.95,41.45,38.55,39.35,39.3,39.95,153941,61.5,1056, 82758, 53.76
ADVANIHOTR, EQ, 12-Feb-2021,47.6,48.95,52.35,48.85,52.35,52.25,51.75,76922,39.81,1185, 56955, 74.04
ADVENZYMES, EQ, 12-Feb-2021,372.9,375.65,393.3,370.1,373.2,375.65,383.99,1245521,4782.62,31275, 326222, 26.19
AEGISCHEM, EQ, 12-Feb-2021,301.75,302.9,307.35,295.0,295.2,295.85,299.79,144800,434.1,5502, 74577, 51.50
AFFLE, EQ, 12-Feb-2021,5092.55,5347.15,5347.15,5347.15,5347.15,5347.15,5347.15,78588,4202.22,1091, 78574, 99.98
AGARIND, BE, 12-Feb-2021,140.2,141.0,146.9,141.0,145.0,143.3,145.2,16578,24.07,184, -, -
AGCNET, EQ, 12-Feb-2021,903.45,900.0,920.0,879.95,900.05,907.0,899.86,13998,125.96,649, 10073, 71.96
AGRITECH, EQ, 12-Feb-2021,35.9,35.95,36.0,35.2,35.7,35.95,35.69,5232,1.87,142, 3408, 65.14
AGROPHOS, EQ, 12-Feb-2021,13.25,13.4,13.95,13.4,13.6,13.6,13.67,43076,5.89,236, 29265, 67.94
AHLADA, EQ, 12-Feb-2021,70.25,74.45,75.0,70.0,73.0,73.85,73.0,15539,11.34,209, 11267, 72.51
AHLEAST, EQ, 12-Feb-2021,162.0,162.3,163.2,155.55,155.55,157.4,160.22,1356,2.17,76, 961, 70.87
AHLUCONT, EQ, 12-Feb-2021,309.75,310.0,313.95,306.5,309.0,307.45,309.8,23945,74.18,2528, 13333, 55.68
AHLWEST, EQ, 12-Feb-2021,246.35,246.4,259.3,240.8,245.0,245.15,247.51,6616,16.38,555, 2520, 38.09
AIAENG, EQ, 12-Feb-2021,1951.0,1933.0,1978.0,1931.95,1955.5,1967.15,1951.59,33698,657.65,6130, 20793, 61.70
AIRAN, EQ, 12-Feb-2021,18.0,18.15,19.6,17.8,19.0,18.9,19.0,335075,63.67,564, 224149, 66.90
AJANTPHARM, EQ, 12-Feb-2021,1816.6,1829.0,1829.0,1792.15,1800.1,1804.6,1802.63,37163,669.91,5079, 13947, 37.53
AJMERA, EQ, 12-Feb-2021,129.2,129.95,130.3,127.5,128.1,128.1,128.52,79932,102.73,1703, 20321, 25.42
AJOONI, SM, 12-Feb-2021,30.1,30.55,30.55,30.55,30.55,30.55,30.55,4000,1.22,1, 4000, 100.00
AKASH, EQ, 12-Feb-2021,237.05,238.0,242.0,218.05,232.0,230.8,238.49,31359,74.79,530, 27967, 89.18
AKG, SM, 12-Feb-2021,93.3,95.4,95.4,93.8,95.0,95.0,94.6,32000,30.27,5, 6400, 20.00
AKSHARCHEM, EQ, 12-Feb-2021,264.2,267.5,287.5,263.95,278.0,279.2,281.31,297427,836.69,7779, 73858, 24.83
AKSHOPTFBR, EQ, 12-Feb-2021,7.1,7.2,7.2,6.85,6.85,6.9,6.96,181144,12.61,428, 105596, 58.29
AKZOINDIA, EQ, 12-Feb-2021,2202.05,2218.0,2218.0,2189.0,2195.0,2193.2,2200.98,10441,229.8,1431, 6756, 64.71
ALANKIT, EQ, 12-Feb-2021,16.65,17.0,17.1,16.45,17.0,16.9,16.82,94352,15.87,310, 64406, 68.26
ALBERTDAVD, EQ, 12-Feb-2021,419.2,421.3,425.4,419.0,419.3,420.8,421.74,14256,60.12,779, 7426, 52.09
ALEMBICLTD, EQ, 12-Feb-2021,101.05,101.3,102.8,100.5,101.8,101.35,101.83,284320,289.53,3987, 80682, 28.38
ALICON, EQ, 12-Feb-2021,418.1,419.95,428.9,409.95,412.8,410.7,418.04,13501,56.44,695, 6727, 49.83
ALKALI, EQ, 12-Feb-2021,54.15,53.7,55.0,53.0,53.5,53.75,53.91,18689,10.08,328, 10286, 55.04
ALKEM, EQ, 12-Feb-2021,2891.1,2873.15,2900.0,2860.0,2878.9,2869.25,2870.18,50540,1450.59,4605, 32948, 65.19
ALKYLAMINE, EQ, 12-Feb-2021,5338.6,5388.0,5480.0,5294.55,5316.65,5340.8,5384.43,61529,3312.98,10919, 17450, 28.36
ALLCARGO, EQ, 12-Feb-2021,132.5,133.0,133.15,129.2,129.6,130.3,131.6,489478,644.13,4091, 306415, 62.60
ALLSEC, EQ, 12-Feb-2021,342.3,345.9,390.0,337.5,377.25,375.15,369.4,152674,563.98,5418, 55452, 36.32
ALMONDZ, EQ, 12-Feb-2021,21.0,19.65,22.25,19.65,22.2,21.8,21.83,6548,1.43,118, 4881, 74.54
ALOKINDS, EQ, 12-Feb-2021,21.3,21.55,21.6,20.75,20.85,20.9,21.04,7408872,1558.53,11561, 3241652, 43.75
ALPA, EQ, 12-Feb-2021,38.75,39.5,40.0,38.15,38.15,38.3,38.78,62967,24.42,438, 38307, 60.84
ALPHAGEO, EQ, 12-Feb-2021,212.55,213.0,215.0,208.05,210.3,210.15,212.27,16110,34.2,527, 9402, 58.36
ALPSINDUS, BE, 12-Feb-2021,2.1,2.2,2.2,2.0,2.2,2.2,2.16,52840,1.14,38, -, -
AMARAJABAT, EQ, 12-Feb-2021,983.55,986.0,999.85,966.0,990.1,987.65,981.9,672251,6600.82,17364, 181440, 26.99
AMBER, EQ, 12-Feb-2021,3143.45,3164.0,3315.0,3123.5,3170.0,3186.05,3230.59,384578,12424.13,43296, 84130, 21.88
AMBIKCO, EQ, 12-Feb-2021,967.8,967.8,971.9,941.95,950.0,946.05,952.74,15258,145.37,1698, 10096, 66.17
AMBUJACEM, EQ, 12-Feb-2021,276.9,275.0,284.9,274.25,277.8,277.45,280.67,9937677,27892.05,81962, 2020768, 20.33
AMDIND, EQ, 12-Feb-2021,18.0,17.95,18.3,17.7,17.85,17.9,18.01,7508,1.35,124, 5976, 79.60
AMJLAND, EQ, 12-Feb-2021,25.4,25.2,26.0,25.2,26.0,25.8,25.61,12974,3.32,92, 7797, 60.10
AMJUMBO, SM, 12-Feb-2021,11.4,10.85,11.95,10.85,11.95,11.95,11.34,488000,55.34,57, 136000, 27.87
AMRUTANJAN, EQ, 12-Feb-2021,533.7,537.95,618.0,537.95,585.55,586.95,591.66,1686875,9980.5,75621, 288585, 17.11
ANANTRAJ, EQ, 12-Feb-2021,43.2,43.3,44.05,42.5,43.0,43.1,43.05,369546,159.08,1861, 225415, 61.00
ANDHRACEMT, EQ, 12-Feb-2021,5.6,5.6,5.85,5.6,5.85,5.85,5.79,349113,20.21,456, 253178, 72.52
ANDHRAPAP, EQ, 12-Feb-2021,228.4,227.3,232.0,222.0,229.0,227.35,227.07,61679,140.06,1092, 40105, 65.02
ANDHRSUGAR, EQ, 12-Feb-2021,313.95,313.95,316.3,304.3,309.0,308.9,309.06,57753,178.49,1787, 36261, 62.79
ANGELBRKG, EQ, 12-Feb-2021,342.3,344.4,346.0,338.0,345.9,343.7,343.16,59538,204.31,1749, 30215, 50.75
ANIKINDS, EQ, 12-Feb-2021,15.25,14.75,15.6,14.75,15.5,15.4,15.14,9941,1.51,57, 8524, 85.75
ANKITMETAL, EQ, 12-Feb-2021,1.15,1.2,1.2,1.2,1.2,1.2,1.2,193214,2.32,72, 182813, 94.62
ANSALAPI, EQ, 12-Feb-2021,7.1,7.45,7.45,7.15,7.45,7.45,7.44,413212,30.75,301, 303987, 73.57
ANSALHSG, EQ, 12-Feb-2021,6.1,6.15,6.4,5.9,6.1,6.1,6.13,87250,5.35,125, 48608, 55.71
ANUP, EQ, 12-Feb-2021,658.1,675.0,675.0,641.25,645.1,648.85,654.19,31376,205.26,3483, 16252, 51.80
APARINDS, EQ, 12-Feb-2021,415.35,425.5,462.4,425.5,444.0,438.95,445.68,1038862,4629.96,24865, 279479, 26.90
APCL, EQ, 12-Feb-2021,215.35,218.6,224.85,214.0,215.95,215.1,219.88,100984,222.04,1933, 41943, 41.53
APCOTEXIND, EQ, 12-Feb-2021,184.9,187.0,188.55,181.65,184.2,183.3,183.68,97726,179.5,2993, 37628, 38.50
APEX, EQ, 12-Feb-2021,259.2,256.55,264.7,256.55,259.0,260.25,260.66,135068,352.07,4027, 57680, 42.70
APLAPOLLO, EQ, 12-Feb-2021,941.0,950.95,959.9,943.45,946.25,947.55,951.29,501304,4768.86,6760, 431882, 86.15
APLLTD, EQ, 12-Feb-2021,935.8,939.7,971.15,935.25,968.0,965.9,958.22,629143,6028.57,17500, 313215, 49.78
APOLLO, EQ, 12-Feb-2021,115.9,116.7,119.5,116.7,118.7,117.55,118.02,160650,189.6,2566, 72854, 45.35
APOLLOHOSP, EQ, 12-Feb-2021,2756.5,2768.0,2790.0,2726.1,2745.0,2748.1,2756.26,693562,19116.37,36346, 222558, 32.09
APOLLOPIPE, EQ, 12-Feb-2021,696.25,691.0,705.0,687.6,692.0,692.8,696.01,11976,83.35,869, 6592, 55.04
APOLLOTYRE, EQ, 12-Feb-2021,240.0,242.5,243.35,236.55,239.45,239.6,240.07,9407649,22585.03,55679, 1288761, 13.70
APOLSINHOT, EQ, 12-Feb-2021,564.1,569.7,578.0,569.7,574.0,575.75,573.23,619,3.55,79, 550, 88.85
APTECHT, EQ, 12-Feb-2021,222.15,223.25,241.95,220.0,234.9,235.9,231.39,1523469,3525.15,35514, 409672, 26.89
ARCHIDPLY, BE, 12-Feb-2021,35.55,35.2,37.0,33.8,36.85,36.6,36.02,40086,14.44,340, -, -
ARCHIES, EQ, 12-Feb-2021,12.7,12.85,13.0,12.5,12.55,12.65,12.64,45282,5.72,177, 31841, 70.32
ARENTERP, EQ, 12-Feb-2021,11.75,12.1,12.25,11.25,11.35,11.35,11.98,7185,0.86,66, 5772, 80.33
ARIES, EQ, 12-Feb-2021,93.45,95.25,96.0,92.0,92.75,92.7,93.92,58869,55.29,1000, 23292, 39.57
ARIHANT, EQ, 12-Feb-2021,22.5,22.55,23.35,22.55,22.6,22.6,22.9,1597,0.37,11, 1497, 93.74
ARIHANTSUP, EQ, 12-Feb-2021,40.4,41.3,41.5,37.85,39.75,40.2,40.06,22005,8.82,187, 8440, 38.35
ARMANFIN, EQ, 12-Feb-2021,721.95,721.95,740.0,721.95,727.0,729.25,732.51,8465,62.01,827, 4670, 55.17
AROGRANITE, EQ, 12-Feb-2021,42.85,42.85,43.85,42.85,42.9,43.1,43.31,14263,6.18,195, 8885, 62.29
ARROWGREEN, EQ, 12-Feb-2021,61.9,68.05,68.05,68.05,68.05,68.05,68.05,24242,16.5,125, 22991, 94.84
ARSHIYA, BE, 12-Feb-2021,32.9,33.9,34.5,31.7,34.0,34.1,33.67,128671,43.32,513, -, -
ARSSINFRA, EQ, 12-Feb-2021,23.75,23.75,24.5,23.5,23.5,23.6,23.96,18828,4.51,140, 9393, 49.89
ARTEMISMED, EQ, 12-Feb-2021,212.15,223.75,233.35,209.05,229.0,228.1,224.97,12603,28.35,464, 6935, 55.03
ARVIND, EQ, 12-Feb-2021,66.2,66.65,73.6,66.45,72.75,72.0,69.3,8678262,6014.31,38354, 2689693, 30.99
ARVINDFASN, EQ, 12-Feb-2021,149.15,150.05,163.8,148.45,160.3,159.35,157.61,1149261,1811.31,14158, 512625, 44.60
ARVSMART, EQ, 12-Feb-2021,97.5,98.35,101.5,98.3,100.4,99.7,99.82,123192,122.97,2207, 45089, 36.60
ASAHIINDIA, EQ, 12-Feb-2021,290.85,292.0,293.5,289.8,290.25,291.35,291.35,66783,194.57,882, 46051, 68.96
ASAHISONG, EQ, 12-Feb-2021,246.1,244.7,248.35,241.25,242.0,242.0,243.54,13280,32.34,494, 8432, 63.49
ASAL, BE, 12-Feb-2021,44.75,44.95,44.95,42.75,44.9,43.6,43.7,7783,3.4,76, -, -
ASALCBR, EQ, 12-Feb-2021,353.2,355.0,370.2,354.45,370.2,363.75,359.86,199665,718.51,3782, 128475, 64.35
ASHAPURMIN, EQ, 12-Feb-2021,128.75,128.7,132.7,122.35,122.35,122.35,126.38,300863,380.24,3021, 193231, 64.23
ASHIANA, EQ, 12-Feb-2021,101.3,102.45,104.85,99.0,99.65,100.05,102.44,197222,202.04,2576, 77121, 39.10
ASHIMASYN, EQ, 12-Feb-2021,13.1,12.85,13.15,12.8,13.1,13.1,13.01,88509,11.51,73, 86544, 97.78
ASHOKA, EQ, 12-Feb-2021,110.9,111.35,113.7,108.1,108.55,109.85,111.33,1654885,1842.36,11467, 544754, 32.92
ASHOKLEY, EQ, 12-Feb-2021,135.05,126.75,133.0,125.9,128.15,128.25,129.06,79628255,102767.79,277077, 16322690, 20.50
ASIANHOTNR, EQ, 12-Feb-2021,71.1,71.05,74.95,69.65,74.0,73.35,72.57,8981,6.52,219, 5456, 60.75
ASIANPAINT, EQ, 12-Feb-2021,2505.5,2518.0,2523.0,2464.2,2488.0,2486.1,2491.77,1376085,34288.89,61470, 304801, 22.15
ASIANTILES, EQ, 12-Feb-2021,268.1,268.1,268.1,261.0,261.5,262.05,264.37,94837,250.72,2012, 50162, 52.89
ASLIND, SM, 12-Feb-2021,17.0,17.0,17.0,17.0,17.0,17.0,17.0,4000,0.68,1, 4000, 100.00
ASPINWALL, EQ, 12-Feb-2021,167.0,171.45,171.45,164.05,170.0,169.95,169.5,4069,6.9,83, 3609, 88.70
ASTEC, EQ, 12-Feb-2021,1040.7,1046.2,1048.5,1020.0,1030.0,1024.45,1034.16,27381,283.16,2697, 16837, 61.49
ASTERDM, EQ, 12-Feb-2021,148.55,148.55,151.65,148.25,148.75,149.0,149.7,499405,747.63,11422, 383521, 76.80
ASTRAL, EQ, 12-Feb-2021,2034.9,2055.0,2070.05,1998.65,2030.0,2018.6,2033.67,106971,2175.43,12153, 50204, 46.93
ASTRAMICRO, EQ, 12-Feb-2021,119.85,120.45,122.15,118.95,119.2,119.3,120.5,318588,383.88,2582, 106613, 33.46
ASTRAZEN, EQ, 12-Feb-2021,3718.5,3722.0,3738.5,3649.95,3667.0,3670.35,3686.96,27946,1030.36,5401, 13399, 47.95
ASTRON, EQ, 12-Feb-2021,43.35,44.55,45.0,43.0,43.4,43.3,43.73,69657,30.46,1231, 32598, 46.80
ATFL, EQ, 12-Feb-2021,832.35,845.05,845.5,820.45,844.0,841.1,833.35,109463,912.21,928, 105056, 95.97
ATGL, EQ, 12-Feb-2021,379.2,381.5,383.4,378.25,381.0,382.55,382.13,1219553,4660.29,11604, 907013, 74.37
ATLANTA, EQ, 12-Feb-2021,7.75,7.95,8.1,7.75,8.1,8.1,7.99,38896,3.11,110, 32895, 84.57
ATUL, EQ, 12-Feb-2021,6516.1,6516.5,6875.0,6516.5,6852.0,6844.3,6773.32,122453,8294.13,15602, 47861, 39.09
ATULAUTO, EQ, 12-Feb-2021,186.1,184.95,184.95,180.5,181.2,181.45,181.5,125841,228.4,2525, 69631, 55.33
AUBANK, EQ, 12-Feb-2021,1125.9,1125.0,1125.9,1055.5,1107.0,1099.3,1093.88,797049,8718.79,37956, 324161, 40.67
AURIONPRO, EQ, 12-Feb-2021,79.55,81.45,89.0,76.2,80.2,80.75,81.02,60898,49.34,878, 20365, 33.44
AUROPHARMA, EQ, 12-Feb-2021,935.2,947.5,947.5,923.55,929.65,929.95,934.31,2641485,24679.63,59273, 904931, 34.26
AUSOMENT, EQ, 12-Feb-2021,51.15,51.3,51.3,48.15,48.35,48.9,49.67,16728,8.31,237, 13501, 80.71
AUTOAXLES, EQ, 12-Feb-2021,1158.8,1168.1,1179.0,1151.05,1165.0,1163.15,1162.09,84478,981.71,2891, 73050, 86.47
AUTOIND, EQ, 12-Feb-2021,31.0,31.05,31.55,30.55,31.4,31.3,30.99,17092,5.3,159, 12156, 71.12
AUTOLITIND, BZ, 12-Feb-2021,28.5,29.6,29.8,27.15,29.0,28.55,29.07,11230,3.26,74, -, -
AVADHSUGAR, EQ, 12-Feb-2021,182.7,184.4,186.55,182.0,182.05,182.75,184.49,40593,74.89,1095, 20540, 50.60
AVANTIFEED, EQ, 12-Feb-2021,505.7,506.65,508.2,495.0,499.0,499.15,499.92,306528,1532.38,17227, 146048, 47.65
AVG, SM, 12-Feb-2021,46.6,45.3,48.8,45.25,46.0,46.3,45.68,15600,7.13,13, 9600, 61.54
AVROIND, SM, 12-Feb-2021,45.0,41.0,41.0,41.0,41.0,41.0,41.0,2000,0.82,1, 2000, 100.00
AVTNPL, EQ, 12-Feb-2021,47.1,47.75,47.75,47.0,47.0,47.05,47.3,169193,80.03,1434, 81810, 48.35
AWHCL, EQ, 12-Feb-2021,320.7,322.75,322.75,315.0,315.05,315.6,317.46,85371,271.02,4402, 41127, 48.17
AXISBANK, EQ, 12-Feb-2021,740.1,735.5,754.7,734.55,749.9,750.4,746.92,15668442,117030.7,208754, 4884471, 31.17
AXISBNKETF, EQ, 12-Feb-2021,357.11,367.82,367.82,355.95,359.52,360.67,359.17,1263,4.54,51, 679, 53.76
AXISCADES, EQ, 12-Feb-2021,50.8,50.8,51.8,49.5,50.0,49.9,50.26,51696,25.98,558, 40286, 77.93
AXISGOLD, EQ, 12-Feb-2021,41.74,42.25,42.25,41.18,41.29,41.28,41.31,180437,74.53,1785, 145514, 80.65
AXISNIFTY, EQ, 12-Feb-2021,156.72,152.51,158.45,152.51,158.0,157.87,157.29,3468,5.45,212, 1965, 56.66
AYMSYNTEX, EQ, 12-Feb-2021,49.7,49.55,51.6,49.1,51.0,50.15,50.52,28586,14.44,243, 23643, 82.71
BAFNAPH, EQ, 12-Feb-2021,112.9,114.7,118.5,110.05,118.5,116.5,114.24,4373,5.0,142, 3147, 71.96
BAGFILMS, EQ, 12-Feb-2021,2.7,2.75,2.75,2.6,2.6,2.65,2.66,111328,2.96,120, 69573, 62.49
BAJAJ-AUTO, EQ, 12-Feb-2021,4181.9,4179.0,4195.8,4117.0,4139.0,4136.05,4150.66,360063,14944.98,26355, 81360, 22.60
BAJAJCON, EQ, 12-Feb-2021,263.25,255.3,257.8,239.0,243.55,244.85,249.98,13949439,34870.32,117122, 6209952, 44.52
BAJAJELEC, EQ, 12-Feb-2021,1050.35,1057.0,1079.0,1051.0,1069.0,1069.0,1064.08,618291,6579.12,36400, 147302, 23.82
BAJAJFINSV, EQ, 12-Feb-2021,10216.65,10250.0,10331.15,10168.0,10300.0,10278.8,10236.92,380285,38929.48,38095, 50942, 13.40
BAJAJHIND, EQ, 12-Feb-2021,6.4,6.4,6.4,6.15,6.25,6.25,6.29,2510555,157.93,2736, 1573149, 62.66
BAJAJHLDNG, EQ, 12-Feb-2021,3553.65,3550.5,3590.0,3527.1,3538.25,3544.6,3553.12,38824,1379.46,5513, 17007, 43.81
BAJFINANCE, EQ, 12-Feb-2021,5567.05,5570.0,5618.0,5532.05,5576.0,5577.45,5571.32,1625268,90548.86,87616, 233955, 14.39
BALAJITELE, EQ, 12-Feb-2021,62.15,60.0,62.0,60.0,61.15,61.1,61.13,127517,77.95,1156, 67776, 53.15
BALAMINES, EQ, 12-Feb-2021,1639.45,1679.0,1754.0,1606.6,1628.0,1643.7,1680.33,1039244,17462.69,78020, 161336, 15.52
BALAXI, EQ, 12-Feb-2021,615.1,626.45,626.45,593.45,610.55,616.3,618.61,46678,288.76,172, 45949, 98.44
BALKRISHNA, BE, 12-Feb-2021,21.2,21.2,21.2,20.2,21.0,21.0,20.5,1963,0.4,15, -, -
BALKRISIND, EQ, 12-Feb-2021,1648.8,1658.0,1678.95,1646.45,1655.0,1655.15,1662.0,975681,16215.85,36966, 191042, 19.58
BALLARPUR, BZ, 12-Feb-2021,1.35,1.3,1.35,1.3,1.3,1.3,1.3,555161,7.22,277, -, -
BALMLAWRIE, EQ, 12-Feb-2021,114.65,114.65,115.95,114.0,114.05,114.25,114.74,200729,230.32,2935, 91066, 45.37
BALPHARMA, EQ, 12-Feb-2021,59.3,65.2,65.2,56.3,57.25,57.25,59.98,107873,64.7,1428, 45443, 42.13
BALRAMCHIN, EQ, 12-Feb-2021,158.95,160.2,162.3,157.0,158.4,158.25,159.29,1016567,1619.33,8564, 564670, 55.55
BANARBEADS, EQ, 12-Feb-2021,57.65,57.6,57.85,57.5,57.5,57.5,57.53,3307,1.9,24, 2632, 79.59
BANARISUG, EQ, 12-Feb-2021,1631.75,1616.95,1625.0,1565.2,1585.0,1574.0,1594.88,1565,24.96,210, 1270, 81.15
BANCOINDIA, EQ, 12-Feb-2021,157.8,156.0,161.9,155.6,157.0,157.1,159.08,250166,397.98,6481, 90788, 36.29
BANDHANBNK, EQ, 12-Feb-2021,332.65,333.1,341.95,333.1,338.1,337.5,338.0,9455332,31958.83,95799, 2159222, 22.84
BANG, EQ, 12-Feb-2021,26.95,27.1,27.3,26.1,26.25,27.15,26.89,8078,2.17,152, 4855, 60.10
BANKA, EQ, 12-Feb-2021,76.55,79.35,79.4,74.0,74.0,74.9,77.3,6657,5.15,133, 3774, 56.69
BANKBARODA, EQ, 12-Feb-2021,77.2,77.45,79.5,77.0,78.35,78.35,78.34,48490727,37987.08,104724, 7045680, 14.53
